Family;Genus;Species;SVL;Mass
Colubridae;Ninia;hudsoni;389.5;14.65
Colubridae;Oxybelis;aeneus;1332;57.5
Colubridae;Oxyrhopus;formosus;741;51.25
Colubridae;Oxyrhopus;guibei;556;43
Colubridae;Oxyrhopus;petolarius;809.8;34
Colubridae;Oxyrhopus;rhombifer;389;21
Colubridae;Oxyrhopus;trigeminus;563.3;41.3
Colubridae;Pantherophis;alleghaniensis;1467;246
Colubridae;Pantherophis;guttatus;1453.3;695.3
Colubridae;Pantherophis;obsoletus;1380;510
Colubridae;Pantherophis;spiloides;1348;322.8
Colubridae;Phalotris;lativittatus;764;62
Colubridae;Phalotris;nasutus;576;58
Colubridae;Philodryas;aestivus;718;47
Colubridae;Philodryas;chamissonis;955;145.3
Colubridae;Philodryas;nattereri;1066.5;170.5
Colubridae;Philodryas;olfersii;947.5;91.5
Colubridae;Philodryas;patagoniensis;929;168
Colubridae;Philodryas;psammophidea;610;50
Colubridae;Phimophis;guerini;607;87
Colubridae;Phyllorhynchus;decurtatus;510;22.6
Colubridae;Pituophis;melanoleucus;1620;747
Colubridae;Plagiopholis;styani;347.5;26
Colubridae;Platyceps;collaris;985.3;63.6
Colubridae;Platyceps;florulentus;377.7;11.5
Colubridae;Platyceps;rhodorachis;1099.3;56.6
Colubridae;Platyceps;rogersi;726.5;35.9
Colubridae;Pseudablabes;agassizii;346;16
Colubridae;Pseudoboa;coronata;743.8;62.8
Colubridae;Pseudoboa;nigra;809.5;134
Colubridae;Ptyas;korros;930;201
Colubridae;Rhabdophis;nuchalis;517.8;32.5
Colubridae;Rhachidelus;brazili;999;561
Colubridae;Rhinechis;scalaris;1500;500
Colubridae;Rhinobothryum;lentiginosum;1155;89.5
Colubridae;Rhynchocalamus;melanocephalus;420;10
Colubridae;Sibynomorphus;mikanii;332;12
Colubridae;Simophis;rhinostoma;565;32
Colubridae;Spalerosophis;diadema;1042.8;211.2
Colubridae;Spilotes;pullatus;1803.5;552.5
Colubridae;Tachymenis;peruviana;427.5;29.2
Colubridae;Tantilla;coronata;231.8;2.5
Colubridae;Tantilla;melanocephala;301;7
Colubridae;Telescopus;dhara;853;81.96
Colubridae;Telescopus;fallax;567.95;33.2
Colubridae;Telescopus;hoogstraali;779.8;74.6
Colubridae;Telescopus;semiannulatus;490;9.5
Colubridae;Thamnodynastes;hypoconia;407;20.4
Colubridae;Thamnodynastes;pallidus;800;53
Colubridae;Thamnodynastes;rutilus;384;21
Colubridae;Thamnophis;radix;552.7;50.9
Colubridae;Thamnophis;sirtalis;630.85;73.03
Colubridae;Thelotornis;capensis;1109.5;78.8
Colubridae;Thelotornis;kirtlandii;1369;69
Colubridae;Xenochrophis;flavipunctatus;898.56;250.7
Colubridae;Xenodon;merremi;718.3;201.7
Colubridae;Xenodon;nattereri;289;14
Colubridae;Xenopholis;scalaris;302.6;8.8
Colubridae;Xenopholis;undulatus;316;10
Colubridae;Xenoxybelis;argenteus;1105;25
Colubridae;Zamenis;lineatus;930;190
Colubridae;Zamenis;longissimus;795;199.3
Elapidae;Acanthophis;antarcticus;567;252
Elapidae;Acanthophis;pyrrhus;585;148
Elapidae;Aspidelaps;scutatus;448.7;75.75
Elapidae;Austrelaps;superbus;553;339
Elapidae;Bungarus;ceylonicus;850;47.7
Elapidae;Cacophis;squamulosus;726;45.7
Elapidae;Chitulia;belcheri;852;260
Elapidae;Chitulia;inornata;645;156
Elapidae;Chitulia;ornata;614;107
Elapidae;Cryptophis;nigrescens;481;35
Elapidae;Demansia;vestigiata;874.3;89.7
Elapidae;Disteira;major;910;258
Elapidae;Disteira;stokesii;470;52
Elapidae;Enhydrina;schistosa;892.8;314.2
Elapidae;Furina;diadema;388;15
Elapidae;Furina;tristis;860;147
Elapidae;Hemiaspis;signata;529;35.8
Elapidae;Hoplocephalus;stephensii;878;104
Elapidae;Hydrelaps;darwiniensis;391;22.4
Elapidae;Lapemis;curtus;566.5;147.1
Elapidae;Lapemis;hardwickii;635;330
Elapidae;Laticauda;laticaudata;883;165
Elapidae;Leioselasma;cyanocincta;568;39.3
